method: org.apache.fop.render.java2d.Java2DRenderer.clip:2092333734
0(2092333734) -> 0(1823916624) 
this(2092333734) -> this(1823916624) 
0(2092333734) -> $r0(1823916624) 
0(2092333734) -> $r1(1823916624) 
0(2092333734) -> $r2(1823916624) 
0(2092333734) -> $r3(1823916624) 
0(1823916624) -> 0(1027594550) 
this(1823916624) -> this(1027594550) 
$r0(1823916624) -> $r0(1027594550) 
$r1(1823916624) -> $r1(1027594550) 
$r2(1823916624) -> $r2(1027594550) 
$r3(1823916624) -> $r3(1027594550) 
0(1027594550) -> 0(718112676) 
this(1027594550) -> this(718112676) 
$r0(1027594550) -> $r0(718112676) 
$r1(1027594550) -> $r1(718112676) 
$r2(1027594550) -> $r2(718112676) 
$r3(1027594550) -> $r3(718112676) 
0(718112676) -> 0(517924999) 
this(718112676) -> this(517924999) 
$r0(718112676) -> $r0(517924999) 
$r1(718112676) -> $r1(517924999) 
$r2(718112676) -> $r2(517924999) 
$r3(718112676) -> $r3(517924999) 
0(718112676) -> 0(461649392) 
this(718112676) -> this(461649392) 
$r0(718112676) -> $r0(461649392) 
$r1(718112676) -> $r1(461649392) 
$r2(718112676) -> $r2(461649392) 
$r3(718112676) -> $r3(461649392) 
0(461649392) -> 0(1252629777) 
this(461649392) -> this(1252629777) 
$r0(461649392) -> $r0(1252629777) 
$r2(461649392) -> $r2(1252629777) 
$r3(461649392) -> $r3(1252629777) 
0(1252629777) -> 0(1166470498) 
this(1252629777) -> this(1166470498) 
$r0(1252629777) -> $r0(1166470498) 
$r1(1252629777) -> $r1(1166470498) 
$r2(1252629777) -> $r2(1166470498) 
$r3(1252629777) -> $r3(1166470498) 
0(517924999) -> 0(1701905675) 
this(517924999) -> this(1701905675) 
$r0(517924999) -> $r0(1701905675) 
$r1(517924999) -> $r1(1701905675) 
$r2(517924999) -> $r2(1701905675) 
$r3(517924999) -> $r3(1701905675) 
0(1701905675) -> 0(139644870) 
this(1701905675) -> this(139644870) 
$r0(1701905675) -> $r0(139644870) 
$r1(1701905675) -> $r1(139644870) 
$r2(1701905675) -> $r2(139644870) 
$r3(1701905675) -> $r3(139644870) 
0(139644870) -> 0(1730534902) 
this(139644870) -> this(1730534902) 
$r0(139644870) -> $r0(1730534902) 
$r1(139644870) -> $r1(1730534902) 
$r2(139644870) -> $r2(1730534902) 
$r3(139644870) -> $r3(1730534902) 
0(1730534902) -> 0(1729066593) 
this(1730534902) -> this(1729066593) 
$r0(1730534902) -> $r0(1729066593) 
$r1(1730534902) -> $r1(1729066593) 
$r2(1730534902) -> $r2(1729066593) 
$r3(1730534902) -> $r3(1729066593) 
0(1729066593) -> 0(-2092333734) 
this(1729066593) -> this(-2092333734) 
$r0(1729066593) -> $r0(-2092333734) 
$r1(1729066593) -> $r1(-2092333734) 
$r2(1729066593) -> $r2(-2092333734) 
$r3(1729066593) -> $r3(-2092333734) 
0(1729066593) -> .return(-2092333734) 
