method: org.apache.fop.render.pcl.PCLGenerator.setValueInMatrix:74903337
0(74903337) -> 0(1582214008) 
dn(74903337) -> dn(1582214008) 
0(1582214008) -> 0(2128315302) 
dn(1582214008) -> dn(2128315302) 
0(2128315302) -> 0(2107656282) 
dn(2128315302) -> dn(2107656282) 
0(2107656282) -> 0(636374309) 
dn(2107656282) -> dn(636374309) 
0(636374309) -> 0(1074449303) 
dn(636374309) -> dn(1074449303) 
0(1074449303) -> 0(1665467802) 
dn(1074449303) -> dn(1665467802) 
0(1665467802) -> 0(291335801) 
dn(1665467802) -> dn(291335801) 
0(291335801) -> 0(1678372466) 
dn(291335801) -> dn(1678372466) 
0(1678372466) -> 0(1842608587) 
dn(1678372466) -> dn(1842608587) 
0(1842608587) -> 0(127710666) 
dn(1842608587) -> dn(127710666) 
0(127710666) -> 0(1737167317) 
dn(127710666) -> dn(1737167317) 
0(1737167317) -> 0(1101183471) 
dn(1737167317) -> dn(1101183471) 
0(1101183471) -> 0(247292293) 
dn(1101183471) -> dn(247292293) 
0(247292293) -> 0(860711506) 
dn(247292293) -> dn(860711506) 
0(860711506) -> 0(1735386420) 
dn(860711506) -> dn(1735386420) 
0(1735386420) -> 0(1664151033) 
dn(1735386420) -> dn(1664151033) 
0(1664151033) -> 0(1011813490) 
dn(1664151033) -> dn(1011813490) 
0(1011813490) -> 0(1439728090) 
dn(1011813490) -> dn(1439728090) 
0(1439728090) -> 0(1811757881) 
dn(1439728090) -> dn(1811757881) 
0(1811757881) -> 0(-74903337) 
dn(1811757881) -> dn(-74903337) 
0(1811757881) -> .return(-74903337) 
