method: org.apache.fop.render.ps.NativeTextHandler.createFont:2132495711
0(2132495711) -> 0(1296528218) 
this(2132495711) -> this(1296528218) 
f(2132495711) -> f(1296528218) 
0(2132495711) -> fontFamily(1296528218) 
0(2132495711) -> style(1296528218) 
0(2132495711) -> triplet(1296528218) 
0(2132495711) -> $r0(1296528218) 
0(2132495711) -> $r1(1296528218) 
0(2132495711) -> $r2(1296528218) 
0(1296528218) -> 0(233193817) 
this(1296528218) -> this(233193817) 
f(1296528218) -> f(233193817) 
fontFamily(1296528218) -> fontFamily(233193817) 
style(1296528218) -> style(233193817) 
triplet(1296528218) -> triplet(233193817) 
$r0(1296528218) -> $r0(233193817) 
$r1(1296528218) -> $r1(233193817) 
$r2(1296528218) -> $r2(233193817) 
0(233193817) -> 0(490001258) 
this(233193817) -> this(490001258) 
f(233193817) -> f(490001258) 
fontFamily(233193817) -> fontFamily(490001258) 
style(233193817) -> style(490001258) 
triplet(233193817) -> triplet(490001258) 
$r0(233193817) -> $r0(490001258) 
$r1(233193817) -> $r1(490001258) 
$r2(233193817) -> $r2(490001258) 
0(490001258) -> 0(-490001258) 
this(490001258) -> this(-490001258) 
f(490001258) -> f(-490001258) 
style(490001258) -> style(-490001258) 
triplet(490001258) -> triplet(-490001258) 
$r0(490001258) -> $r0(-490001258) 
$r1(490001258) -> $r1(-490001258) 
$r2(490001258) -> $r2(-490001258) 
0(-490001258) -> 0(917107808) 
this(-490001258) -> this(917107808) 
f(-490001258) -> f(917107808) 
fontFamily(-490001258) -> fontFamily(917107808) 
style(-490001258) -> style(917107808) 
triplet(-490001258) -> triplet(917107808) 
$r0(-490001258) -> $r0(917107808) 
$r1(-490001258) -> $r1(917107808) 
$r2(-490001258) -> $r2(917107808) 
0(917107808) -> 0(-917107808) 
this(917107808) -> this(-917107808) 
f(917107808) -> f(-917107808) 
fontFamily(917107808) -> fontFamily(-917107808) 
style(917107808) -> style(-917107808) 
triplet(917107808) -> triplet(-917107808) 
$r0(917107808) -> $r0(-917107808) 
$r1(917107808) -> $r1(-917107808) 
$r2(917107808) -> $r2(-917107808) 
0(-917107808) -> 0(1340794537) 
this(-917107808) -> this(1340794537) 
f(-917107808) -> f(1340794537) 
fontFamily(-917107808) -> fontFamily(1340794537) 
style(-917107808) -> style(1340794537) 
triplet(-917107808) -> triplet(1340794537) 
$r0(-917107808) -> $r0(1340794537) 
$r1(-917107808) -> $r1(1340794537) 
$r2(-917107808) -> $r2(1340794537) 
0(1340794537) -> 0(890815963) 
this(1340794537) -> this(890815963) 
f(1340794537) -> f(890815963) 
fontFamily(1340794537) -> fontFamily(890815963) 
style(1340794537) -> style(890815963) 
triplet(1340794537) -> triplet(890815963) 
$r0(1340794537) -> $r0(890815963) 
$r1(1340794537) -> $r1(890815963) 
$r2(1340794537) -> $r2(890815963) 
0(1340794537) -> 0(1613663604) 
this(1340794537) -> this(1613663604) 
f(1340794537) -> f(1613663604) 
fontFamily(1340794537) -> fontFamily(1613663604) 
style(1340794537) -> style(1613663604) 
triplet(1340794537) -> triplet(1613663604) 
$r0(1340794537) -> $r0(1613663604) 
$r1(1340794537) -> $r1(1613663604) 
$r2(1340794537) -> $r2(1613663604) 
0(1613663604) -> 0(890815963) 
this(1613663604) -> this(890815963) 
f(1613663604) -> f(890815963) 
fontFamily(1613663604) -> fontFamily(890815963) 
style(1613663604) -> style(890815963) 
triplet(1613663604) -> triplet(890815963) 
$r0(1613663604) -> $r0(890815963) 
$r1(1613663604) -> $r1(890815963) 
$r2(1613663604) -> $r2(890815963) 
0(890815963) -> 0(-890815963) 
this(890815963) -> this(-890815963) 
f(890815963) -> f(-890815963) 
fontFamily(890815963) -> fontFamily(-890815963) 
style(890815963) -> style(-890815963) 
triplet(890815963) -> triplet(-890815963) 
$r0(890815963) -> $r0(-890815963) 
$r1(890815963) -> $r1(-890815963) 
$r2(890815963) -> $r2(-890815963) 
0(-890815963) -> 0(892590020) 
this(-890815963) -> this(892590020) 
f(-890815963) -> f(892590020) 
fontFamily(-890815963) -> fontFamily(892590020) 
style(-890815963) -> style(892590020) 
triplet(-890815963) -> triplet(892590020) 
$r0(-890815963) -> $r0(892590020) 
$r1(-890815963) -> $r1(892590020) 
