method: org.apache.fop.render.ps.PSTextPainter.drawPrimitiveString:1049274602
2207963 -> 2207964
2207965 -> 2207966
2207967 -> 2207968
2207969 -> 2207970
2207971 -> 2207972
2207973 -> 2207974
2207963 -> 2207975
2207963 -> 2207976
2207963 -> 2207977
2207963 -> 2207978
2207963 -> 2207979
2207963 -> 2207980
2207964 -> 2207981
2207966 -> 2207982
2207968 -> 2207983
2207970 -> 2207984
2207972 -> 2207985
2207974 -> 2207986
2207975 -> 2207987
2207976 -> 2207988
2207977 -> 2207989
2207978 -> 2207990
2207979 -> 2207991
2207980 -> 2207992
2207981 -> 2207993
2207982 -> 2207994
2207983 -> 2207995
2207984 -> 2207996
2207985 -> 2207997
2207986 -> 2207998
2207987 -> 2207999
2207988 -> 2208000
2207989 -> 2208001
2207990 -> 2208002
2207991 -> 2208003
2207992 -> 2208004
2207993 -> 2208005
2207994 -> 2208006
2207995 -> 2208007
2207996 -> 2208008
2207997 -> 2208009
2207998 -> 2208010
2207999 -> 2208011
2208000 -> 2208012
2208001 -> 2208013
2208002 -> 2208014
2208003 -> 2208015
2208004 -> 2208016
2208005 -> 2208017
2208006 -> 2208018
2208007 -> 2208019
2208008 -> 2208020
2208009 -> 2208021
2208010 -> 2208022
2208011 -> 2208023
2208012 -> 2208024
2208013 -> 2208025
2208014 -> 2208026
2208015 -> 2208027
2208016 -> 2208028
2208017 -> 2208029
2208018 -> 2208030
2208019 -> 2208031
2208020 -> 2208032
2208021 -> 2208033
2208022 -> 2208034
2208023 -> 2208035
2208024 -> 2208036
2208025 -> 2208037
2208026 -> 2208038
2208027 -> 2208039
2208028 -> 2208040
2208029 -> 2208041
2208030 -> 2208042
2208031 -> 2208043
2208032 -> 2208044
2208033 -> 2208045
2208034 -> 2208046
2208035 -> 2208047
2208036 -> 2208048
2208037 -> 2208049
2208038 -> 2208050
2208039 -> 2208051
2208040 -> 2208052
2208041 -> 2208053
2208042 -> 2208054
2208043 -> 2208055
2208044 -> 2208056
2208045 -> 2208057
2208046 -> 2208058
2208047 -> 2208059
2208048 -> 2208060
2208049 -> 2208061
2208050 -> 2208062
2208051 -> 2208063
2208052 -> 2208064
2208053 -> 2208065
2208054 -> 2208066
2208055 -> 2208067
2208056 -> 2208068
2208057 -> 2208069
2208058 -> 2208070
2208059 -> 2208071
2208060 -> 2208072
2208061 -> 2208073
2208062 -> 2208074
2208063 -> 2208075
2208064 -> 2208076
2208065 -> 2208077
2208066 -> 2208078
2208067 -> 2208079
2208068 -> 2208080
2208069 -> 2208081
2208070 -> 2208082
2208071 -> 2208083
