method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfContainer.setChildren:2032065845
0(2032065845) -> 0(1297517250) 
this(2032065845) -> this(1297517250) 
list(2032065845) -> list(1297517250) 
0(2032065845) -> $r0(1297517250) 
0(1297517250) -> 0(1823469112) 
this(1297517250) -> this(1823469112) 
list(1297517250) -> list(1823469112) 
$r0(1297517250) -> $r0(1823469112) 
0(1823469112) -> 0(1588844717) 
this(1823469112) -> this(1588844717) 
list(1823469112) -> list(1588844717) 
$r0(1823469112) -> $r0(1588844717) 
0(1588844717) -> 0(1901491821) 
this(1588844717) -> this(1901491821) 
list(1588844717) -> list(1901491821) 
$r0(1588844717) -> $r0(1901491821) 
0(1901491821) -> 0(1483029056) 
this(1901491821) -> this(1483029056) 
list(1901491821) -> list(1483029056) 
$r0(1901491821) -> $r0(1483029056) 
0(1901491821) -> 0(124393953) 
this(1901491821) -> this(124393953) 
list(1901491821) -> list(124393953) 
$r0(1901491821) -> $r0(124393953) 
0(124393953) -> 0(1187579540) 
this(124393953) -> this(1187579540) 
list(124393953) -> $r0(1187579540) 
list(124393953) -> list(1187579540) 
0(1187579540) -> 0(2009354965) 
this(1187579540) -> this(2009354965) 
list(1187579540) -> list(2009354965) 
$r0(1187579540) -> $r0(2009354965) 
0(2009354965) -> 0(-2032065845) 
this(2009354965) -> this(-2032065845) 
list(2009354965) -> list(-2032065845) 
$r0(2009354965) -> $r0(-2032065845) 
0(2009354965) -> .return(-2032065845) 
0(1483029056) -> 0(-2032065845) 
this(1483029056) -> this(-2032065845) 
list(1483029056) -> list(-2032065845) 
$r0(1483029056) -> $r0(-2032065845) 
0(1483029056) -> .return(-2032065845) 
