method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfElement.writeControlWord:1270955401
0(1270955401) -> 0(1949560868) 
this(1270955401) -> this(1949560868) 
word(1270955401) -> word(1949560868) 
0(1270955401) -> $r0(1949560868) 
0(1949560868) -> 0(2111506197) 
this(1949560868) -> this(2111506197) 
word(1949560868) -> word(2111506197) 
$r0(1949560868) -> $r0(2111506197) 
0(2111506197) -> 0(1726509515) 
this(2111506197) -> this(1726509515) 
word(2111506197) -> word(1726509515) 
$r0(2111506197) -> $r0(1726509515) 
0(1726509515) -> 0(1742104661) 
this(1726509515) -> this(1742104661) 
word(1726509515) -> word(1742104661) 
$r0(1726509515) -> $r0(1742104661) 
0(1742104661) -> 0(1764888918) 
this(1742104661) -> this(1764888918) 
word(1742104661) -> word(1764888918) 
$r0(1742104661) -> $r0(1764888918) 
0(1764888918) -> 0(1271537734) 
this(1764888918) -> this(1271537734) 
word(1764888918) -> word(1271537734) 
$r0(1764888918) -> $r0(1271537734) 
0(1271537734) -> 0(152328899) 
this(1271537734) -> this(152328899) 
word(1271537734) -> word(152328899) 
$r0(1271537734) -> $r0(152328899) 
0(152328899) -> 0(955079969) 
this(152328899) -> this(955079969) 
word(152328899) -> word(955079969) 
$r0(152328899) -> $r0(955079969) 
0(955079969) -> 0(1736261305) 
this(955079969) -> this(1736261305) 
word(955079969) -> word(1736261305) 
$r0(955079969) -> $r0(1736261305) 
0(1736261305) -> 0(-1270955401) 
this(1736261305) -> this(-1270955401) 
word(1736261305) -> word(-1270955401) 
$r0(1736261305) -> $r0(-1270955401) 
0(1736261305) -> .return(-1270955401) 
