method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfHyperLink.newLineBreak:2145655326
0(2145655326) -> 0(2082981398) 
this(2145655326) -> this(2082981398) 
0(2145655326) -> $r0(2082981398) 
0(2145655326) -> $r1(2082981398) 
0(2082981398) -> 0(1795898147) 
this(2082981398) -> this(1795898147) 
$r0(2082981398) -> $r0(1795898147) 
$r1(2082981398) -> $r1(1795898147) 
0(1795898147) -> 0(2133306272) 
this(1795898147) -> this(2133306272) 
$r1(1795898147) -> $r1(2133306272) 
0(2133306272) -> 0(91543192) 
this(2133306272) -> this(91543192) 
$r0(2133306272) -> $r0(91543192) 
$r1(2133306272) -> $r1(91543192) 
0(91543192) -> 0(2137272772) 
this(91543192) -> this(2137272772) 
$r0(91543192) -> $r0(2137272772) 
$r1(91543192) -> $r1(2137272772) 
0(2137272772) -> 0(-2145655326) 
this(2137272772) -> this(-2145655326) 
$r0(2137272772) -> $r0(-2145655326) 
$r1(2137272772) -> $r1(-2145655326) 
0(2137272772) -> .return(-2145655326) 
