method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfNull.<init>:306875215
0(306875215) -> 0(469611746) 
this(306875215) -> this(469611746) 
parent(306875215) -> parent(469611746) 
w(306875215) -> w(469611746) 
0(469611746) -> 0(762212297) 
this(469611746) -> this(762212297) 
parent(469611746) -> parent(762212297) 
w(469611746) -> w(762212297) 
0(762212297) -> 0(762121324) 
this(762212297) -> this(762121324) 
parent(762212297) -> parent(762121324) 
w(762212297) -> w(762121324) 
0(762121324) -> 0(1705690077) 
this(762121324) -> this(1705690077) 
parent(762121324) -> parent(1705690077) 
w(762121324) -> w(1705690077) 
0(1705690077) -> 0(773920336) 
this(1705690077) -> this(773920336) 
parent(1705690077) -> parent(773920336) 
w(1705690077) -> w(773920336) 
0(773920336) -> 0(-306875215) 
this(773920336) -> this(-306875215) 
parent(773920336) -> parent(-306875215) 
w(773920336) -> w(-306875215) 
0(773920336) -> .return(-306875215) 
