method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfTableCell.closeCurrentExternalGraphic:1239659068
0(1239659068) -> 0(781557334) 
this(1239659068) -> this(781557334) 
0(1239659068) -> $r0(781557334) 
0(781557334) -> 0(46020185) 
this(781557334) -> this(46020185) 
$r0(781557334) -> $r0(46020185) 
0(46020185) -> 0(367136375) 
this(46020185) -> this(367136375) 
$r0(46020185) -> $r0(367136375) 
0(367136375) -> 0(1777358288) 
this(367136375) -> this(1777358288) 
$r0(367136375) -> $r0(1777358288) 
0(367136375) -> 0(1534162393) 
this(367136375) -> this(1534162393) 
$r0(367136375) -> $r0(1534162393) 
0(1534162393) -> 0(1978673269) 
this(1534162393) -> this(1978673269) 
$r0(1534162393) -> $r0(1978673269) 
0(1978673269) -> 0(1777358288) 
this(1978673269) -> this(1777358288) 
$r0(1978673269) -> $r0(1777358288) 
0(1777358288) -> 0(-1239659068) 
this(1777358288) -> this(-1239659068) 
$r0(1777358288) -> $r0(-1239659068) 
0(1777358288) -> .return(-1239659068) 
