method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfTextrun.addPageNumberCitation:2080602021
0(2080602021) -> 0(1415707613) 
this(2080602021) -> this(1415707613) 
refId(2080602021) -> refId(1415707613) 
0(2080602021) -> $r0(1415707613) 
0(2080602021) -> r(1415707613) 
0(2080602021) -> $r1(1415707613) 
0(1415707613) -> 0(1826526578) 
this(1415707613) -> this(1826526578) 
refId(1415707613) -> refId(1826526578) 
$r0(1415707613) -> $r0(1826526578) 
r(1415707613) -> r(1826526578) 
$r1(1415707613) -> $r1(1826526578) 
0(1826526578) -> 0(153462581) 
this(1826526578) -> this(153462581) 
refId(1826526578) -> refId(153462581) 
$r0(1826526578) -> $r0(153462581) 
r(1826526578) -> r(153462581) 
$r1(1826526578) -> $r1(153462581) 
0(153462581) -> 0(45017747) 
this(153462581) -> this(45017747) 
refId(153462581) -> refId(45017747) 
r(153462581) -> r(45017747) 
$r1(153462581) -> $r1(45017747) 
0(45017747) -> 0(1863089505) 
this(45017747) -> this(1863089505) 
refId(45017747) -> refId(1863089505) 
$r0(45017747) -> $r0(1863089505) 
r(45017747) -> r(1863089505) 
$r1(45017747) -> $r1(1863089505) 
0(1863089505) -> 0(486253628) 
this(1863089505) -> this(486253628) 
refId(1863089505) -> refId(486253628) 
$r0(1863089505) -> $r0(486253628) 
r(1863089505) -> r(486253628) 
$r1(1863089505) -> $r1(486253628) 
0(486253628) -> 0(1289448961) 
this(486253628) -> this(1289448961) 
refId(486253628) -> refId(1289448961) 
$r0(486253628) -> r(1289448961) 
$r0(486253628) -> $r0(1289448961) 
$r1(486253628) -> $r1(1289448961) 
0(1289448961) -> 0(-2080602021) 
this(1289448961) -> this(-2080602021) 
refId(1289448961) -> refId(-2080602021) 
$r0(1289448961) -> $r0(-2080602021) 
r(1289448961) -> r(-2080602021) 
$r1(1289448961) -> $r1(-2080602021) 
0(1289448961) -> .return(-2080602021) 
