method: org.apache.fop.render.txt.TXTRenderer.renderText:717854794
2367590 -> 2367591
2367592 -> 2367593
2367594 -> 2367595
2367590 -> 2367596
2367591 -> 2367597
2367593 -> 2367598
2367595 -> 2367599
2367596 -> 2367600
2367597 -> 2367601
2367598 -> 2367602
2367599 -> 2367603
2367600 -> 2367604
2367601 -> 2367605
2367602 -> 2367606
2367603 -> 2367607
2367604 -> 2367608
2367605 -> 2367609
2367606 -> 2367610
2367607 -> 2367611
2367608 -> 2367612
2367609 -> 2367613
2367610 -> 2367614
2367611 -> 2367615
2367612 -> 2367616
2367613 -> 2367617
2367614 -> 2367618
2367615 -> 2367619
2367616 -> 2367620
2367617 -> 2367621
2367618 -> 2367622
2367619 -> 2367623
2367620 -> 2367624
2367621 -> 2367625
2367622 -> 2367626
2367623 -> 2367627
2367624 -> 2367628
2367625 -> 2367629
2367626 -> 2367630
2367627 -> 2367631
2367629 -> 2367632
2367630 -> 2367633
2367631 -> 2367634
2367635 -> 2367636
2367632 -> 2367637
2367633 -> 2367638
2367634 -> 2367639
2367636 -> 2367640
2367637 -> 2367641
2367638 -> 2367642
2367639 -> 2367643
2367640 -> 2367644
2367641 -> 2367645
2367642 -> 2367646
2367643 -> 2367647
2367644 -> 2367648
2367641 -> 2367649
