method: org.apache.fop.svg.PDFDocumentGraphics2D.closePage:1027270401
0(1027270401) -> 0(1828367541) 
this(1027270401) -> this(1828367541) 
0(1027270401) -> pdfStream(1828367541) 
0(1027270401) -> annots(1828367541) 
0(1027270401) -> $r0(1828367541) 
0(1027270401) -> $r1(1828367541) 
0(1027270401) -> $r2(1828367541) 
0(1027270401) -> $r3(1828367541) 
0(1027270401) -> $r5(1828367541) 
0(1027270401) -> $r6(1828367541) 
0(1027270401) -> $r7(1828367541) 
0(1828367541) -> 0(549540675) 
this(1828367541) -> this(549540675) 
pdfStream(1828367541) -> pdfStream(549540675) 
annots(1828367541) -> annots(549540675) 
$r0(1828367541) -> $r0(549540675) 
$r1(1828367541) -> $r1(549540675) 
$r2(1828367541) -> $r2(549540675) 
$r3(1828367541) -> $r3(549540675) 
$r5(1828367541) -> $r5(549540675) 
$r6(1828367541) -> $r6(549540675) 
$r7(1828367541) -> $r7(549540675) 
0(549540675) -> 0(1950442625) 
this(549540675) -> this(1950442625) 
pdfStream(549540675) -> pdfStream(1950442625) 
annots(549540675) -> annots(1950442625) 
$r0(549540675) -> $r0(1950442625) 
$r1(549540675) -> $r1(1950442625) 
$r2(549540675) -> $r2(1950442625) 
$r3(549540675) -> $r3(1950442625) 
$r5(549540675) -> $r5(1950442625) 
$r6(549540675) -> $r6(1950442625) 
$r7(549540675) -> $r7(1950442625) 
0(1950442625) -> 0(-1950442625) 
this(1950442625) -> this(-1950442625) 
pdfStream(1950442625) -> pdfStream(-1950442625) 
annots(1950442625) -> annots(-1950442625) 
$r0(1950442625) -> $r0(-1950442625) 
$r1(1950442625) -> $r1(-1950442625) 
$r2(1950442625) -> $r2(-1950442625) 
$r3(1950442625) -> $r3(-1950442625) 
$r5(1950442625) -> $r5(-1950442625) 
$r6(1950442625) -> $r6(-1950442625) 
$r7(1950442625) -> $r7(-1950442625) 
0(-1950442625) -> 0(1898810567) 
this(-1950442625) -> this(1898810567) 
pdfStream(-1950442625) -> pdfStream(1898810567) 
annots(-1950442625) -> annots(1898810567) 
$r0(-1950442625) -> $r0(1898810567) 
$r1(-1950442625) -> $r1(1898810567) 
$r2(-1950442625) -> $r2(1898810567) 
$r3(-1950442625) -> $r3(1898810567) 
$r5(-1950442625) -> $r5(1898810567) 
$r6(-1950442625) -> $r6(1898810567) 
$r7(-1950442625) -> $r7(1898810567) 
0(1898810567) -> 0(569875001) 
this(1898810567) -> this(569875001) 
pdfStream(1898810567) -> pdfStream(569875001) 
annots(1898810567) -> annots(569875001) 
$r0(1898810567) -> $r0(569875001) 
$r1(1898810567) -> $r1(569875001) 
$r2(1898810567) -> $r2(569875001) 
$r3(1898810567) -> $r3(569875001) 
$r5(1898810567) -> $r5(569875001) 
$r6(1898810567) -> $r6(569875001) 
$r7(1898810567) -> $r7(569875001) 
0(1898810567) -> 0(1702205149) 
this(1898810567) -> this(1702205149) 
pdfStream(1898810567) -> pdfStream(1702205149) 
annots(1898810567) -> annots(1702205149) 
$r0(1898810567) -> $r0(1702205149) 
$r1(1898810567) -> $r1(1702205149) 
$r2(1898810567) -> $r2(1702205149) 
$r3(1898810567) -> $r3(1702205149) 
$r5(1898810567) -> $r5(1702205149) 
$r6(1898810567) -> $r6(1702205149) 
$r7(1898810567) -> $r7(1702205149) 
0(1702205149) -> 0(-1027270401) 
this(1702205149) -> this(-1027270401) 
pdfStream(1702205149) -> pdfStream(-1027270401) 
annots(1702205149) -> annots(-1027270401) 
$r0(1702205149) -> $r0(-1027270401) 
$r1(1702205149) -> $r1(-1027270401) 
$r2(1702205149) -> $r2(-1027270401) 
$r3(1702205149) -> $r3(-1027270401) 
$r5(1702205149) -> $r5(-1027270401) 
$r6(1702205149) -> $r6(-1027270401) 
$r7(1702205149) -> $r7(-1027270401) 
0(1702205149) -> .return(-1027270401) 
0(569875001) -> 0(112076187) 
this(569875001) -> this(112076187) 
pdfStream(569875001) -> pdfStream(112076187) 
annots(569875001) -> annots(112076187) 
$r0(569875001) -> $r0(112076187) 
$r1(569875001) -> $r1(112076187) 
$r2(569875001) -> $r2(112076187) 
$r3(569875001) -> $r3(112076187) 
$r5(569875001) -> $r5(112076187) 
$r6(569875001) -> $r6(112076187) 
$r7(569875001) -> $r7(112076187) 
0(112076187) -> 0(-112076187) 
this(112076187) -> this(-112076187) 
pdfStream(112076187) -> pdfStream(-112076187) 
annots(112076187) -> annots(-112076187) 
$r0(112076187) -> $r0(-112076187) 
$r1(112076187) -> $r1(-112076187) 
$r3(112076187) -> $r3(-112076187) 
$r5(112076187) -> $r5(-112076187) 
$r6(112076187) -> $r6(-112076187) 
$r7(112076187) -> $r7(-112076187) 
0(-112076187) -> 0(2046610267) 
this(-112076187) -> this(2046610267) 
pdfStream(-112076187) -> pdfStream(2046610267) 
annots(-112076187) -> annots(2046610267) 
$r0(-112076187) -> $r0(2046610267) 
$r1(-112076187) -> $r1(2046610267) 
$r2(-112076187) -> $r2(2046610267) 
$r3(-112076187) -> $r3(2046610267) 
