method: org.apache.fop.svg.PDFTranscoder$3.getTargetResolution:399139051
0(399139051) -> 0(1893478442) 
this(399139051) -> this(1893478442) 
0(399139051) -> $r0(1893478442) 
0(399139051) -> $r1(1893478442) 
0(1893478442) -> 0(338118056) 
this(1893478442) -> this(338118056) 
$r0(1893478442) -> $r0(338118056) 
$r1(1893478442) -> $r1(338118056) 
0(338118056) -> 0(508437230) 
this(338118056) -> this(508437230) 
$r0(338118056) -> $r0(508437230) 
$r1(338118056) -> $r1(508437230) 
0(508437230) -> 0(467093197) 
this(508437230) -> this(467093197) 
$r0(508437230) -> $r0(467093197) 
$r1(508437230) -> $r1(467093197) 
0(467093197) -> 0(-467093197) 
this(467093197) -> this(-467093197) 
$r0(467093197) -> $r0(-467093197) 
$r1(467093197) -> $r1(-467093197) 
0(-467093197) -> 0(1382632194) 
this(-467093197) -> this(1382632194) 
$r0(-467093197) -> $r0(1382632194) 
$r1(-467093197) -> $r1(1382632194) 
0(1382632194) -> 0(-399139051) 
this(1382632194) -> this(-399139051) 
$r0(1382632194) -> $r0(-399139051) 
$r1(1382632194) -> $r1(-399139051) 
0(1382632194) -> .return(-399139051) 
