method: org.apache.fop.text.linebreak.LineBreakUtils.init_0:1365811000
2492131 -> 2492132
2492131 -> 2492133
2492131 -> 2492134
2492132 -> 2492135
2492133 -> 2492136
2492134 -> 2492137
2492135 -> 2492138
2492136 -> 2492139
2492138 -> 2492140
2492139 -> 2492141
2492142 -> 2492143
2492140 -> 2492144
2492141 -> 2492145
2492143 -> 2492146
2492144 -> 2492147
2492145 -> 2492148
2492146 -> 2492149
2492147 -> 2492150
2492148 -> 2492151
2492149 -> 2492152
2492150 -> 2492153
2492151 -> 2492154
2492152 -> 2492155
2492153 -> 2492156
2492154 -> 2492157
2492155 -> 2492158
2492156 -> 2492159
2492157 -> 2492160
2492158 -> 2492161
2492159 -> 2492162
2492160 -> 2492163
2492161 -> 2492164
2492162 -> 2492165
2492163 -> 2492166
2492164 -> 2492167
2492165 -> 2492168
2492166 -> 2492169
2492167 -> 2492170
2492168 -> 2492171
2492169 -> 2492172
2492170 -> 2492173
2492171 -> 2492174
2492172 -> 2492175
2492173 -> 2492176
2492174 -> 2492177
2492175 -> 2492178
2492176 -> 2492179
2492177 -> 2492180
2492178 -> 2492181
2492179 -> 2492182
2492180 -> 2492183
2492181 -> 2492184
2492182 -> 2492185
2492183 -> 2492186
2492184 -> 2492187
2492185 -> 2492188
2492186 -> 2492189
2492187 -> 2492190
2492188 -> 2492191
2492189 -> 2492192
2492190 -> 2492193
2492191 -> 2492194
2492192 -> 2492195
2492193 -> 2492196
2492194 -> 2492197
2492195 -> 2492198
2492196 -> 2492199
2492197 -> 2492200
2492198 -> 2492201
2492199 -> 2492202
2492200 -> 2492203
2492201 -> 2492204
2492202 -> 2492205
2492203 -> 2492206
2492204 -> 2492207
2492205 -> 2492208
2492206 -> 2492209
2492207 -> 2492210
2492208 -> 2492211
2492209 -> 2492212
2492210 -> 2492213
2492211 -> 2492214
2492212 -> 2492215
2492213 -> 2492216
2492214 -> 2492217
2492215 -> 2492218
2492216 -> 2492219
2492217 -> 2492220
2492218 -> 2492221
2492219 -> 2492222
2492220 -> 2492223
2492221 -> 2492224
2492222 -> 2492225
2492223 -> 2492226
2492224 -> 2492227
2492225 -> 2492228
2492226 -> 2492229
2492227 -> 2492230
2492228 -> 2492231
2492229 -> 2492232
2492230 -> 2492233
2492231 -> 2492234
2492232 -> 2492235
2492233 -> 2492236
2492234 -> 2492237
2492235 -> 2492238
2492236 -> 2492239
2492237 -> 2492240
2492238 -> 2492241
2492239 -> 2492242
2492240 -> 2492243
2492241 -> 2492244
2492242 -> 2492245
2492243 -> 2492246
2492244 -> 2492247
2492245 -> 2492248
2492246 -> 2492249
2492247 -> 2492250
2492248 -> 2492251
2492249 -> 2492252
2492250 -> 2492253
2492251 -> 2492254
2492252 -> 2492255
2492253 -> 2492256
2492254 -> 2492257
2492255 -> 2492258
2492256 -> 2492259
2492257 -> 2492260
2492258 -> 2492261
2492259 -> 2492262
2492260 -> 2492263
2492261 -> 2492264
2492262 -> 2492265
2492263 -> 2492266
2492264 -> 2492267
2492265 -> 2492268
2492266 -> 2492269
2492267 -> 2492270
2492268 -> 2492271
2492269 -> 2492272
2492270 -> 2492273
2492271 -> 2492274
2492272 -> 2492275
2492273 -> 2492276
2492274 -> 2492277
2492275 -> 2492278
2492276 -> 2492279
2492277 -> 2492280
2492278 -> 2492281
2492279 -> 2492282
2492280 -> 2492283
2492281 -> 2492284
2492282 -> 2492285
2492283 -> 2492286
2492284 -> 2492287
2492285 -> 2492288
2492286 -> 2492289
2492287 -> 2492290
2492288 -> 2492291
2492289 -> 2492292
2492290 -> 2492293
2492291 -> 2492294
2492292 -> 2492295
2492293 -> 2492296
2492294 -> 2492297
2492295 -> 2492298
2492296 -> 2492299
2492297 -> 2492300
2492298 -> 2492301
2492299 -> 2492302
2492300 -> 2492303
2492301 -> 2492304
2492302 -> 2492305
2492303 -> 2492306
2492304 -> 2492307
2492305 -> 2492308
2492306 -> 2492309
2492307 -> 2492310
2492308 -> 2492311
2492309 -> 2492312
2492310 -> 2492313
2492311 -> 2492314
2492312 -> 2492315
2492313 -> 2492316
2492314 -> 2492317
2492315 -> 2492318
2492316 -> 2492319
2492317 -> 2492320
2492318 -> 2492321
2492319 -> 2492322
2492320 -> 2492323
2492321 -> 2492324
2492322 -> 2492325
2492323 -> 2492326
2492324 -> 2492327
2492325 -> 2492328
2492326 -> 2492329
2492327 -> 2492330
2492328 -> 2492331
2492329 -> 2492332
2492330 -> 2492333
2492331 -> 2492334
2492332 -> 2492335
2492333 -> 2492336
2492334 -> 2492337
2492335 -> 2492338
2492336 -> 2492339
2492337 -> 2492340
2492338 -> 2492341
2492339 -> 2492342
2492340 -> 2492343
2492341 -> 2492344
2492342 -> 2492345
2492343 -> 2492346
2492344 -> 2492347
2492345 -> 2492348
2492346 -> 2492349
2492347 -> 2492350
2492348 -> 2492351
2492349 -> 2492352
2492350 -> 2492353
2492351 -> 2492354
2492352 -> 2492355
2492353 -> 2492356
2492354 -> 2492357
2492355 -> 2492358
2492356 -> 2492359
2492357 -> 2492360
2492358 -> 2492361
2492359 -> 2492362
2492360 -> 2492363
2492361 -> 2492364
2492362 -> 2492365
2492363 -> 2492366
2492364 -> 2492367
2492365 -> 2492368
2492366 -> 2492369
2492367 -> 2492370
2492368 -> 2492371
2492369 -> 2492372
2492370 -> 2492373
2492371 -> 2492374
2492372 -> 2492375
2492373 -> 2492376
2492374 -> 2492377
2492375 -> 2492378
2492376 -> 2492379
2492377 -> 2492380
2492378 -> 2492381
2492379 -> 2492382
2492380 -> 2492383
2492381 -> 2492384
2492382 -> 2492385
2492383 -> 2492386
2492384 -> 2492387
2492385 -> 2492388
2492386 -> 2492389
2492387 -> 2492390
2492388 -> 2492391
2492389 -> 2492392
2492390 -> 2492393
2492391 -> 2492394
2492392 -> 2492395
2492393 -> 2492396
2492394 -> 2492397
2492395 -> 2492398
2492396 -> 2492399
2492397 -> 2492400
2492398 -> 2492401
2492399 -> 2492402
2492400 -> 2492403
2492401 -> 2492404
2492402 -> 2492405
2492403 -> 2492406
2492404 -> 2492407
2492405 -> 2492408
2492406 -> 2492409
2492407 -> 2492410
2492408 -> 2492411
2492409 -> 2492412
2492410 -> 2492413
2492411 -> 2492414
2492412 -> 2492415
2492413 -> 2492416
2492414 -> 2492417
2492415 -> 2492418
2492416 -> 2492419
2492417 -> 2492420
2492418 -> 2492421
2492419 -> 2492422
2492420 -> 2492423
2492421 -> 2492424
2492422 -> 2492425
2492423 -> 2492426
2492424 -> 2492427
2492425 -> 2492428
2492426 -> 2492429
2492427 -> 2492430
2492428 -> 2492431
2492429 -> 2492432
2492430 -> 2492433
2492431 -> 2492434
2492432 -> 2492435
2492433 -> 2492436
2492434 -> 2492437
2492435 -> 2492438
2492436 -> 2492439
2492437 -> 2492440
2492438 -> 2492441
2492439 -> 2492442
2492440 -> 2492443
2492441 -> 2492444
2492442 -> 2492445
2492443 -> 2492446
2492444 -> 2492447
2492445 -> 2492448
2492446 -> 2492449
2492447 -> 2492450
2492448 -> 2492451
2492449 -> 2492452
2492450 -> 2492453
2492451 -> 2492454
2492452 -> 2492455
2492453 -> 2492456
2492454 -> 2492457
2492455 -> 2492458
2492456 -> 2492459
2492457 -> 2492460
2492458 -> 2492461
2492459 -> 2492462
2492460 -> 2492463
2492461 -> 2492464
2492462 -> 2492465
2492463 -> 2492466
2492464 -> 2492467
2492465 -> 2492468
2492466 -> 2492469
2492467 -> 2492470
2492468 -> 2492471
2492469 -> 2492472
2492470 -> 2492473
2492471 -> 2492474
2492472 -> 2492475
2492473 -> 2492476
2492474 -> 2492477
2492475 -> 2492478
2492476 -> 2492479
2492477 -> 2492480
2492478 -> 2492481
2492479 -> 2492482
2492480 -> 2492483
2492481 -> 2492484
2492482 -> 2492485
2492483 -> 2492486
2492484 -> 2492487
2492485 -> 2492488
2492486 -> 2492489
2492487 -> 2492490
2492488 -> 2492491
2492489 -> 2492492
2492490 -> 2492493
2492491 -> 2492494
2492492 -> 2492495
2492493 -> 2492496
2492494 -> 2492497
2492495 -> 2492498
2492496 -> 2492499
2492497 -> 2492500
2492498 -> 2492501
2492499 -> 2492502
2492500 -> 2492503
2492501 -> 2492504
2492502 -> 2492505
2492503 -> 2492506
2492504 -> 2492507
2492505 -> 2492508
2492506 -> 2492509
2492507 -> 2492510
2492508 -> 2492511
2492509 -> 2492512
2492510 -> 2492513
2492511 -> 2492514
2492512 -> 2492515
2492513 -> 2492516
2492514 -> 2492517
2492515 -> 2492518
2492516 -> 2492519
2492517 -> 2492520
2492518 -> 2492521
2492519 -> 2492522
2492520 -> 2492523
2492521 -> 2492524
2492522 -> 2492525
2492523 -> 2492526
2492524 -> 2492527
2492525 -> 2492528
2492526 -> 2492529
2492527 -> 2492530
2492528 -> 2492531
2492529 -> 2492532
2492531 -> 2492533
2492532 -> 2492534
2492535 -> 2492536
2492533 -> 2492537
2492534 -> 2492538
2492536 -> 2492539
2492537 -> 2492540
2492538 -> 2492541
2492539 -> 2492542
2492540 -> 2492543
2492541 -> 2492544
2492542 -> 2492545
2492543 -> 2492546
2492544 -> 2492547
2492545 -> 2492548
2492546 -> 2492549
2492547 -> 2492550
2492548 -> 2492551
2492549 -> 2492552
2492550 -> 2492553
2492551 -> 2492554
2492552 -> 2492555
2492553 -> 2492556
2492554 -> 2492557
2492555 -> 2492558
2492556 -> 2492559
2492557 -> 2492560
2492558 -> 2492561
2492559 -> 2492562
2492560 -> 2492563
2492561 -> 2492564
2492562 -> 2492565
2492563 -> 2492566
2492564 -> 2492567
2492565 -> 2492568
2492566 -> 2492569
2492567 -> 2492570
2492568 -> 2492571
2492569 -> 2492572
2492570 -> 2492573
2492571 -> 2492574
2492572 -> 2492575
2492573 -> 2492576
2492574 -> 2492577
2492575 -> 2492578
2492576 -> 2492579
2492577 -> 2492580
2492578 -> 2492581
2492579 -> 2492582
2492580 -> 2492583
2492581 -> 2492584
2492582 -> 2492585
2492583 -> 2492586
2492584 -> 2492587
2492585 -> 2492588
2492586 -> 2492589
2492587 -> 2492590
2492588 -> 2492591
2492589 -> 2492592
2492590 -> 2492593
2492591 -> 2492594
2492592 -> 2492595
2492593 -> 2492596
2492594 -> 2492597
2492595 -> 2492598
2492596 -> 2492599
2492597 -> 2492600
2492598 -> 2492601
2492599 -> 2492602
2492600 -> 2492603
2492601 -> 2492604
2492602 -> 2492605
2492603 -> 2492606
2492604 -> 2492607
2492605 -> 2492608
2492606 -> 2492609
2492607 -> 2492610
