method: org.apache.fop.tools.anttasks.SerializeHyphPattern.setTargetDir:1411522097
0(1411522097) -> 0(1005195391) 
this(1411522097) -> this(1005195391) 
targetDir(1411522097) -> targetDir(1005195391) 
0(1411522097) -> $r0(1005195391) 
0(1411522097) -> dir(1005195391) 
0(1005195391) -> 0(65085588) 
this(1005195391) -> this(65085588) 
targetDir(1005195391) -> targetDir(65085588) 
$r0(1005195391) -> $r0(65085588) 
dir(1005195391) -> dir(65085588) 
0(65085588) -> 0(824301193) 
this(65085588) -> this(824301193) 
targetDir(65085588) -> targetDir(824301193) 
$r0(65085588) -> $r0(824301193) 
dir(65085588) -> dir(824301193) 
0(824301193) -> 0(1122092993) 
this(824301193) -> this(1122092993) 
targetDir(824301193) -> targetDir(1122092993) 
dir(824301193) -> dir(1122092993) 
0(1122092993) -> 0(1963029044) 
this(1122092993) -> this(1963029044) 
targetDir(1122092993) -> targetDir(1963029044) 
$r0(1122092993) -> $r0(1963029044) 
dir(1122092993) -> dir(1963029044) 
0(1963029044) -> 0(579451341) 
this(1963029044) -> this(579451341) 
targetDir(1963029044) -> targetDir(579451341) 
$r0(1963029044) -> dir(579451341) 
$r0(1963029044) -> $r0(579451341) 
0(579451341) -> 0(349042) 
this(579451341) -> this(349042) 
targetDir(579451341) -> targetDir(349042) 
$r0(579451341) -> $r0(349042) 
dir(579451341) -> dir(349042) 
0(349042) -> 0(-1411522097) 
this(349042) -> this(-1411522097) 
targetDir(349042) -> targetDir(-1411522097) 
$r0(349042) -> $r0(-1411522097) 
dir(349042) -> dir(-1411522097) 
0(349042) -> .return(-1411522097) 
