method: org.apache.fop.util.DataURIResolver.parseDataURI:1315995113
0(1315995113) -> 0(1449475800) 
this(1315995113) -> this(1449475800) 
href(1315995113) -> href(1449475800) 
0(1315995113) -> header(1449475800) 
0(1315995113) -> data(1449475800) 
0(1315995113) -> bytes(1449475800) 
0(1315995113) -> encodedStream(1449475800) 
0(1315995113) -> decodedStream(1449475800) 
0(1315995113) -> $r0(1449475800) 
0(1315995113) -> $r1(1449475800) 
0(1315995113) -> $r2(1449475800) 
0(1315995113) -> $r3(1449475800) 
0(1449475800) -> 0(285279032) 
this(1449475800) -> this(285279032) 
href(1449475800) -> href(285279032) 
header(1449475800) -> header(285279032) 
data(1449475800) -> data(285279032) 
bytes(1449475800) -> bytes(285279032) 
encodedStream(1449475800) -> encodedStream(285279032) 
decodedStream(1449475800) -> decodedStream(285279032) 
$r0(1449475800) -> $r0(285279032) 
$r1(1449475800) -> $r1(285279032) 
$r2(1449475800) -> $r2(285279032) 
$r3(1449475800) -> $r3(285279032) 
0(285279032) -> 0(1421191601) 
this(285279032) -> this(1421191601) 
href(285279032) -> href(1421191601) 
header(285279032) -> header(1421191601) 
data(285279032) -> data(1421191601) 
bytes(285279032) -> bytes(1421191601) 
encodedStream(285279032) -> encodedStream(1421191601) 
decodedStream(285279032) -> decodedStream(1421191601) 
$r0(285279032) -> $r0(1421191601) 
$r1(285279032) -> $r1(1421191601) 
$r2(285279032) -> $r2(1421191601) 
$r3(285279032) -> $r3(1421191601) 
0(1421191601) -> 0(-1421191601) 
this(1421191601) -> this(-1421191601) 
href(1421191601) -> href(-1421191601) 
header(1421191601) -> header(-1421191601) 
data(1421191601) -> data(-1421191601) 
bytes(1421191601) -> bytes(-1421191601) 
encodedStream(1421191601) -> encodedStream(-1421191601) 
decodedStream(1421191601) -> decodedStream(-1421191601) 
$r0(1421191601) -> $r0(-1421191601) 
$r1(1421191601) -> $r1(-1421191601) 
$r2(1421191601) -> $r2(-1421191601) 
$r3(1421191601) -> $r3(-1421191601) 
0(-1421191601) -> 0(210770949) 
this(-1421191601) -> this(210770949) 
href(-1421191601) -> href(210770949) 
header(-1421191601) -> header(210770949) 
data(-1421191601) -> data(210770949) 
bytes(-1421191601) -> bytes(210770949) 
encodedStream(-1421191601) -> encodedStream(210770949) 
decodedStream(-1421191601) -> decodedStream(210770949) 
$r0(-1421191601) -> $r0(210770949) 
$r1(-1421191601) -> $r1(210770949) 
$r2(-1421191601) -> $r2(210770949) 
$r3(-1421191601) -> $r3(210770949) 
0(210770949) -> 0(-210770949) 
this(210770949) -> this(-210770949) 
href(210770949) -> href(-210770949) 
data(210770949) -> data(-210770949) 
bytes(210770949) -> bytes(-210770949) 
encodedStream(210770949) -> encodedStream(-210770949) 
decodedStream(210770949) -> decodedStream(-210770949) 
$r0(210770949) -> $r0(-210770949) 
$r1(210770949) -> $r1(-210770949) 
$r2(210770949) -> $r2(-210770949) 
$r3(210770949) -> $r3(-210770949) 
0(-210770949) -> 0(1212212861) 
this(-210770949) -> this(1212212861) 
href(-210770949) -> href(1212212861) 
header(-210770949) -> header(1212212861) 
data(-210770949) -> data(1212212861) 
bytes(-210770949) -> bytes(1212212861) 
encodedStream(-210770949) -> encodedStream(1212212861) 
decodedStream(-210770949) -> decodedStream(1212212861) 
$r0(-210770949) -> $r0(1212212861) 
$r1(-210770949) -> $r1(1212212861) 
$r2(-210770949) -> $r2(1212212861) 
$r3(-210770949) -> $r3(1212212861) 
0(1212212861) -> 0(1062230083) 
this(1212212861) -> this(1062230083) 
href(1212212861) -> href(1062230083) 
header(1212212861) -> header(1062230083) 
data(1212212861) -> data(1062230083) 
bytes(1212212861) -> bytes(1062230083) 
encodedStream(1212212861) -> encodedStream(1062230083) 
decodedStream(1212212861) -> decodedStream(1062230083) 
$r0(1212212861) -> $r0(1062230083) 
$r1(1212212861) -> $r1(1062230083) 
$r2(1212212861) -> $r2(1062230083) 
$r3(1212212861) -> $r3(1062230083) 
0(1062230083) -> 0(-1062230083) 
this(1062230083) -> this(-1062230083) 
href(1062230083) -> href(-1062230083) 
header(1062230083) -> header(-1062230083) 
bytes(1062230083) -> bytes(-1062230083) 
encodedStream(1062230083) -> encodedStream(-1062230083) 
decodedStream(1062230083) -> decodedStream(-1062230083) 
$r0(1062230083) -> $r0(-1062230083) 
$r1(1062230083) -> $r1(-1062230083) 
$r2(1062230083) -> $r2(-1062230083) 
$r3(1062230083) -> $r3(-1062230083) 
0(-1062230083) -> 0(237236571) 
this(-1062230083) -> this(237236571) 
href(-1062230083) -> href(237236571) 
header(-1062230083) -> header(237236571) 
data(-1062230083) -> data(237236571) 
bytes(-1062230083) -> bytes(237236571) 
encodedStream(-1062230083) -> encodedStream(237236571) 
decodedStream(-1062230083) -> decodedStream(237236571) 
$r0(-1062230083) -> $r0(237236571) 
$r1(-1062230083) -> $r1(237236571) 
$r2(-1062230083) -> $r2(237236571) 
$r3(-1062230083) -> $r3(237236571) 
0(237236571) -> 0(-237236571) 
this(237236571) -> this(-237236571) 
href(237236571) -> href(-237236571) 
header(237236571) -> header(-237236571) 
data(237236571) -> data(-237236571) 
bytes(237236571) -> bytes(-237236571) 
encodedStream(237236571) -> encodedStream(-237236571) 
decodedStream(237236571) -> decodedStream(-237236571) 
$r0(237236571) -> $r0(-237236571) 
$r1(237236571) -> $r1(-237236571) 
$r2(237236571) -> $r2(-237236571) 
$r3(237236571) -> $r3(-237236571) 
0(-237236571) -> 0(1505399965) 
this(-237236571) -> this(1505399965) 
href(-237236571) -> href(1505399965) 
header(-237236571) -> header(1505399965) 
data(-237236571) -> data(1505399965) 
bytes(-237236571) -> bytes(1505399965) 
encodedStream(-237236571) -> encodedStream(1505399965) 
decodedStream(-237236571) -> decodedStream(1505399965) 
$r0(-237236571) -> $r0(1505399965) 
$r1(-237236571) -> $r1(1505399965) 
$r2(-237236571) -> $r2(1505399965) 
$r3(-237236571) -> $r3(1505399965) 
0(1505399965) -> 0(487201771) 
this(1505399965) -> this(487201771) 
href(1505399965) -> href(487201771) 
header(1505399965) -> header(487201771) 
data(1505399965) -> data(487201771) 
bytes(1505399965) -> bytes(487201771) 
encodedStream(1505399965) -> encodedStream(487201771) 
decodedStream(1505399965) -> decodedStream(487201771) 
$r0(1505399965) -> $r0(487201771) 
$r1(1505399965) -> $r1(487201771) 
$r2(1505399965) -> $r2(487201771) 
$r3(1505399965) -> $r3(487201771) 
0(1505399965) -> 0(1258890870) 
this(1505399965) -> this(1258890870) 
href(1505399965) -> href(1258890870) 
header(1505399965) -> header(1258890870) 
data(1505399965) -> data(1258890870) 
bytes(1505399965) -> bytes(1258890870) 
encodedStream(1505399965) -> encodedStream(1258890870) 
decodedStream(1505399965) -> decodedStream(1258890870) 
$r0(1505399965) -> $r0(1258890870) 
$r1(1505399965) -> $r1(1258890870) 
$r2(1505399965) -> $r2(1258890870) 
$r3(1505399965) -> $r3(1258890870) 
0(1258890870) -> 0(-1258890870) 
this(1258890870) -> this(-1258890870) 
href(1258890870) -> href(-1258890870) 
header(1258890870) -> header(-1258890870) 
data(1258890870) -> data(-1258890870) 
encodedStream(1258890870) -> encodedStream(-1258890870) 
decodedStream(1258890870) -> decodedStream(-1258890870) 
$r0(1258890870) -> $r0(-1258890870) 
$r1(1258890870) -> $r1(-1258890870) 
$r2(1258890870) -> $r2(-1258890870) 
$r3(1258890870) -> $r3(-1258890870) 
0(-1258890870) -> 0(1169961846) 
this(-1258890870) -> this(1169961846) 
href(-1258890870) -> href(1169961846) 
header(-1258890870) -> header(1169961846) 
data(-1258890870) -> data(1169961846) 
bytes(-1258890870) -> bytes(1169961846) 
encodedStream(-1258890870) -> encodedStream(1169961846) 
decodedStream(-1258890870) -> decodedStream(1169961846) 
$r0(-1258890870) -> $r0(1169961846) 
$r1(-1258890870) -> $r1(1169961846) 
$r2(-1258890870) -> $r2(1169961846) 
$r3(-1258890870) -> $r3(1169961846) 
0(1169961846) -> 0(1294343899) 
this(1169961846) -> this(1294343899) 
href(1169961846) -> href(1294343899) 
header(1169961846) -> header(1294343899) 
data(1169961846) -> data(1294343899) 
bytes(1169961846) -> bytes(1294343899) 
encodedStream(1169961846) -> encodedStream(1294343899) 
decodedStream(1169961846) -> decodedStream(1294343899) 
$r1(1169961846) -> $r1(1294343899) 
$r2(1169961846) -> $r2(1294343899) 
$r3(1169961846) -> $r3(1294343899) 
0(1294343899) -> 0(28566383) 
this(1294343899) -> this(28566383) 
href(1294343899) -> href(28566383) 
header(1294343899) -> header(28566383) 
data(1294343899) -> data(28566383) 
bytes(1294343899) -> bytes(28566383) 
encodedStream(1294343899) -> encodedStream(28566383) 
decodedStream(1294343899) -> decodedStream(28566383) 
$r0(1294343899) -> $r0(28566383) 
$r1(1294343899) -> $r1(28566383) 
$r2(1294343899) -> $r2(28566383) 
$r3(1294343899) -> $r3(28566383) 
0(28566383) -> 0(1226345800) 
this(28566383) -> this(1226345800) 
href(28566383) -> href(1226345800) 
header(28566383) -> header(1226345800) 
data(28566383) -> data(1226345800) 
bytes(28566383) -> bytes(1226345800) 
decodedStream(28566383) -> decodedStream(1226345800) 
$r0(28566383) -> encodedStream(1226345800) 
