method: org.apache.fop.util.DelegatingContentHandler.startCDATA:116539377
0(116539377) -> 0(1309806409) 
this(116539377) -> this(1309806409) 
0(116539377) -> $r0(1309806409) 
0(1309806409) -> 0(2009192902) 
this(1309806409) -> this(2009192902) 
$r0(1309806409) -> $r0(2009192902) 
0(2009192902) -> 0(1472238486) 
this(2009192902) -> this(1472238486) 
$r0(2009192902) -> $r0(1472238486) 
0(1472238486) -> 0(1775280163) 
this(1472238486) -> this(1775280163) 
$r0(1472238486) -> $r0(1775280163) 
0(1472238486) -> 0(145349896) 
this(1472238486) -> this(145349896) 
$r0(1472238486) -> $r0(145349896) 
0(145349896) -> 0(1206795433) 
this(145349896) -> this(1206795433) 
$r0(145349896) -> $r0(1206795433) 
0(1206795433) -> 0(1775280163) 
this(1206795433) -> this(1775280163) 
$r0(1206795433) -> $r0(1775280163) 
0(1775280163) -> 0(-116539377) 
this(1775280163) -> this(-116539377) 
$r0(1775280163) -> $r0(-116539377) 
0(1775280163) -> .return(-116539377) 
